timestamp,device,size,direction,protocol,burst,label,attack_type
2025-12-18T19:43:36.396219,Temperature Sensor,92,Device -> Gateway,MQTT,None,normal,none
2025-12-18T19:43:36.396262,Motion Sensor,81,Device -> Gateway,MQTT,Small bursts,normal,none
2025-12-18T19:43:36.396273,Smart Plug,108,Device <-> Gateway,CoAP / MQTT,Short bursts on toggle,normal,none
2025-12-18T19:43:36.396282,Lighting Controller,106,Device <-> Gateway,CoAP,Small bursts on state change,normal,none
2025-12-18T19:43:36.396291,Low-Cost IP Camera,793,Device -> Gateway -> Cloud,RTSP / TCP,Continuous during streaming,normal,none
2025-12-18T19:43:36.396298,Temperature Sensor,217,Device -> Gateway -> External,MQTT,High-rate flooding,attack,flooding
2025-12-18T19:43:36.396306,Smart Plug,68,Device -> Gateway -> Multiple External,TCP,Rapid probing,attack,scan
2025-12-18T19:43:36.396313,Motion Sensor,91,Device -> Gateway,MQTT,Repeated events,attack,replay
2025-12-18T19:43:37.396996,Temperature Sensor,53,Device -> Gateway,MQTT,None,normal,none
2025-12-18T19:43:37.397035,Motion Sensor,96,Device -> Gateway,MQTT,Small bursts,normal,none
2025-12-18T19:43:37.397045,Smart Plug,146,Device <-> Gateway,CoAP / MQTT,Short bursts on toggle,normal,none
2025-12-18T19:43:37.397054,Lighting Controller,135,Device <-> Gateway,CoAP,Small bursts on state change,normal,none
2025-12-18T19:43:37.397063,Low-Cost IP Camera,761,Device -> Gateway -> Cloud,RTSP / TCP,Continuous during streaming,normal,none
2025-12-18T19:43:37.397071,Temperature Sensor,216,Device -> Gateway -> External,MQTT,High-rate flooding,attack,flooding
2025-12-18T19:43:37.397079,Smart Plug,73,Device -> Gateway -> Multiple External,TCP,Rapid probing,attack,scan
2025-12-18T19:43:37.397087,Motion Sensor,77,Device -> Gateway,MQTT,Repeated events,attack,replay
2025-12-18T19:43:38.397703,Temperature Sensor,61,Device -> Gateway,MQTT,None,normal,none
2025-12-18T19:43:38.397803,Motion Sensor,72,Device -> Gateway,MQTT,Small bursts,normal,none
2025-12-18T19:43:38.397832,Smart Plug,107,Device <-> Gateway,CoAP / MQTT,Short bursts on toggle,normal,none
2025-12-18T19:43:38.397857,Lighting Controller,85,Device <-> Gateway,CoAP,Small bursts on state change,normal,none
2025-12-18T19:43:38.397881,Low-Cost IP Camera,1247,Device -> Gateway -> Cloud,RTSP / TCP,Continuous during streaming,normal,none
2025-12-18T19:43:38.397901,Temperature Sensor,464,Device -> Gateway -> External,MQTT,High-rate flooding,attack,flooding
2025-12-18T19:43:38.397923,Smart Plug,71,Device -> Gateway -> Multiple External,TCP,Rapid probing,attack,scan
2025-12-18T19:43:38.397942,Motion Sensor,106,Device -> Gateway,MQTT,Repeated events,attack,replay
2025-12-18T19:43:39.398496,Temperature Sensor,75,Device -> Gateway,MQTT,None,normal,none
2025-12-18T19:43:39.398595,Motion Sensor,60,Device -> Gateway,MQTT,Small bursts,normal,none
2025-12-18T19:43:39.398625,Smart Plug,137,Device <-> Gateway,CoAP / MQTT,Short bursts on toggle,normal,none
2025-12-18T19:43:39.398650,Lighting Controller,96,Device <-> Gateway,CoAP,Small bursts on state change,normal,none
